Question,Answer
"1.  Mặt trận Xô - Đức, mặt trận chủ yếu của Chiến tranh thế giới thứ hai, diễn ra trong khoảng thời gian nào? A. 1939-1943 B. 1941-1945 C. 1939-1945 D. 1942-1944","Dựa vào thông tin trong đoạn trích, mặt trận Xô - Đức, mặt trận chủ yếu của Chiến tranh thế giới thứ hai, diễn ra trong khoảng thời gian từ 22-6-1941 (ngày phát xít Đức tấn công Liên Xô) đến 9-5-1945 (ngày phát xít Đức đầu hàng, chiến tranh kết thúc ở châu Âu).

Vậy đáp án đúng là: B. 1941-1945"
2.  Sự kiện nào mở đầu Chiến tranh thế giới thứ hai? A. Đức tấn công Ba Lan B. Đức tấn công Liên Xô C. Nhật Bản tấn công Trân Châu Cảng D. Italia tấn công Pháp,A. Đức tấn công Ba Lan
"3.  Chiến thuật ""đánh chớp nhoáng"" được Đức sử dụng trong giai đoạn nào của chiến tranh? A. Giai đoạn 1 B. Giai đoạn 2 C. Giai đoạn 3 D. Giai đoạn 4","Dựa vào thông tin trong đoạn trích, chiến thuật ""đánh chớp nhoáng"" được Đức sử dụng trong giai đoạn 1 của chiến tranh."
4.  Quốc gia nào bị Đức thôn tính trong giai đoạn đầu của chiến tranh? A. Pháp B. Anh C. Ba Lan D. Liên Xô,C. Ba Lan
5.  Sự kiện nào đánh dấu sự bùng nổ của chiến tranh Thái Bình Dương? A. Đức tấn công Liên Xô B. Nhật Bản tấn công Trân Châu Cảng C. Italia tham chiến D. Mĩ tuyên chiến với Đức,B. Nhật Bản tấn công Trân Châu Cảng
6.  Mặt trận Đồng minh chống phát xít chính thức hình thành với sự kiện nào? A. Hiệp ước Molotov-Ribbentrop B. Tuyên bố Liên hợp quốc C. Hội nghị Ianta D. Hội nghị Têhêran,B. Tuyên bố Liên hợp quốc
7.  Chiến thắng nào của Hồng quân Liên Xô được coi là bước ngoặt của Chiến tranh thế giới thứ hai? A. Trận Mátxcơva B. Trận Berlin C. Trận Xtalingrát D. Trận Cuốcxcơ,C. Trận Xtalingrát
"8.  Hội nghị Têhêran có sự tham gia của nguyên thủ quốc gia nào? A. Stalin, Roosevelt, Churchill B. Hitler, Mussolini, Tojo C. Stalin, Truman, Attlee D. Roosevelt, Churchill, De Gaulle","A. Stalin, Roosevelt, Churchill"
9.  Sự kiện nào đánh dấu sự sụp đổ hoàn toàn của chủ nghĩa phát xít Đức? A. Đức đầu hàng Đồng minh B. Hồng quân chiếm Berlin C. Hitler tự sát D. Tất cả các đáp án trên,D. Tất cả các đáp án trên
"10. Nguyên nhân chủ yếu dẫn đến sự sụp đổ của chủ nghĩa phát xít Đức, Italia, Nhật Bản là gì? A. Sự phản bội của các đồng minh B. Sự chống trả quyết liệt của nhân dân các nước bị chiếm đóng C. Sự thất bại trên các mặt trận và sự tham chiến của Liên Xô D. Tất cả các đáp án trên",D. Tất cả các đáp án trên
